model,sens_mean,sens_std,spec_mean,spec_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
lightgbm,0.504166666332118,0.2365551378806485,0.9199637021990446,0.043482997942562364,0.46268440889225515,0.1662624804418593,0.8283413994757008,0.062476858849002954,0.653524777824684,0.14813794485339266
xgboost,,,,,,,,,,
random_forest,0.3049999997977083,0.16292465868823186,0.9298850573093261,0.07280329141180789,0.3249759380808649,0.12331876380758675,0.7577873563218391,0.05977573174904967,0.5414899135487194,0.0876419160842901
svm,0.3566666664309722,0.15187714322921228,0.9547489411524618,0.02083525324991952,0.39801496883233173,0.1291542087815183,0.7754595180479935,0.016791260997419687,0.5216012291249605,0.06751825187763465
knn,0.4108333330610069,0.16872890803234417,0.9163339381343665,0.06409945923271348,0.3877233490351665,0.06450901719227953,0.7602432446057673,0.043705735883394936,0.5343939478971347,0.09784808512114361
